,latitude,longitude,scientific_name,common_name
363,2.93815905,101.7231393,Mikania micrantha,mile-a-minute
364,3.750385284,102.5658417,Mikania micrantha,mile-a-minute
365,1.455395,103.9012367,Mikania micrantha,mile-a-minute
366,1.454661441,103.9011315,Mikania micrantha,mile-a-minute
367,1.4545196,103.9010125,Mikania micrantha,mile-a-minute
368,1.453255146,103.9006184,Mikania micrantha,mile-a-minute
369,2.95902811,101.6662741,Mikania micrantha,mile-a-minute
370,2.9417267,101.6941982,Mikania micrantha,mile-a-minute
371,6.05066704,116.4556504,Mikania micrantha,mile-a-minute
372,3.145635876,101.6883992,Mikania micrantha,mile-a-minute
373,3.025677778,101.6963306,Mikania micrantha,mile-a-minute
374,3.180145,101.706493,Mikania micrantha,mile-a-minute
375,1.690376667,109.8460067,Mikania micrantha,mile-a-minute
376,4.026723,114.805502,Mikania micrantha,mile-a-minute
377,2.688977778,101.9178389,Mikania micrantha,mile-a-minute
378,2.720058333,101.890825,Mikania micrantha,mile-a-minute
379,6.020434972,116.508166,Mikania micrantha,mile-a-minute
380,5.873453,118.0992829,Mikania micrantha,mile-a-minute
381,5.428422525,101.1297029,Mikania micrantha,mile-a-minute
382,3.69798616,101.753968,Mikania micrantha,mile-a-minute
383,1.36013937,103.614724,Mikania micrantha,mile-a-minute
384,2.704186111,101.9126083,Mikania micrantha,mile-a-minute
385,1.555173013,103.6373206,Mikania micrantha,mile-a-minute
386,2.688186111,101.9129972,Mikania micrantha,mile-a-minute
387,3.14645,101.6164083,Mikania micrantha,mile-a-minute
388,5.093149934,102.9896151,Mikania micrantha,mile-a-minute
389,2.384368289,103.7144083,Mikania micrantha,mile-a-minute
390,5.571498345,103.1300461,Mikania micrantha,mile-a-minute
391,3.950816667,103.1945333,Mikania micrantha,mile-a-minute
392,5.3889188,103.041635,Mikania micrantha,mile-a-minute
393,5.391326785,103.0397106,Mikania micrantha,mile-a-minute
394,5.972046486,116.0816035,Mikania micrantha,mile-a-minute
395,3.2448933,102.2497112,Mikania micrantha,mile-a-minute
396,3.944585632,101.3519692,Mikania micrantha,mile-a-minute
397,3.8417,101.2963283,Mikania micrantha,mile-a-minute
398,3.841048074,101.2970891,Mikania micrantha,mile-a-minute
399,2.681225,102.517075,Mikania micrantha,mile-a-minute
400,4.082683866,101.7958094,Mikania micrantha,mile-a-minute
401,2.662526667,102.4856117,Mikania micrantha,mile-a-minute
402,4.938535542,103.0544416,Mikania micrantha,mile-a-minute
403,3.779703333,101.4557783,Mikania micrantha,mile-a-minute
404,4.978105556,102.2022833,Mikania micrantha,mile-a-minute
405,4.910686878,102.1771718,Mikania micrantha,mile-a-minute
406,3.841143406,101.297051,Mikania micrantha,mile-a-minute
407,3.366016667,102.9306778,Mikania micrantha,mile-a-minute
408,1.454414721,103.9011054,Mikania micrantha,mile-a-minute
409,3.4171957,101.8433705,Mikania micrantha,mile-a-minute
410,2.400129,102.42776,Mikania micrantha,mile-a-minute
411,3.2106488,101.7589952,Mikania micrantha,mile-a-minute
412,3.4191349,101.8421648,Mikania micrantha,mile-a-minute
413,5.432034537,116.4413554,Mikania micrantha,mile-a-minute
414,3.145761944,101.6886368,Mikania micrantha,mile-a-minute
415,3.145761944,101.6886368,Mikania micrantha,mile-a-minute
416,3.145750028,101.6887512,Mikania micrantha,mile-a-minute
417,3.145761944,101.6886368,Mikania micrantha,mile-a-minute
418,5.401508331,100.3286133,Mimosa pigra,Giant Sensitive Plant
419,2.719722271,101.9005585,Mimosa pigra,Giant Sensitive Plant
420,2.724166632,101.8963852,Mimosa pigra,Giant Sensitive Plant
421,2.713888884,101.8874969,Mimosa pigra,Giant Sensitive Plant
422,2.723689252,101.9009739,Mimosa pigra,Giant Sensitive Plant
423,2.714548577,101.8992402,Mimosa pigra,Giant Sensitive Plant
424,2.716388941,101.8972244,Mimosa pigra,Giant Sensitive Plant
425,2.716388941,101.8972244,Mimosa pigra,Giant Sensitive Plant
426,2.706814051,101.8898544,Mimosa pigra,Giant Sensitive Plant
427,2.733550072,101.8897095,Mimosa pigra,Giant Sensitive Plant
428,2.702894926,101.9100266,Mimosa pigra,Giant Sensitive Plant
429,2.690953016,101.8938065,Mimosa pigra,Giant Sensitive Plant
430,2.705905914,101.9043808,Mimosa pigra,Giant Sensitive Plant
431,2.948371119,101.8744219,Mimosa pigra,Giant Sensitive Plant
432,2.678657055,101.8989716,Mimosa pigra,Giant Sensitive Plant
433,2.6542944,101.7849476,Mimosa pigra,Giant Sensitive Plant
434,2.6542944,101.7849476,Mimosa pigra,Giant Sensitive Plant
435,3.013704056,101.6950302,Mimosa pigra,Giant Sensitive Plant
436,2.678342111,101.9000473,Mimosa pigra,Giant Sensitive Plant
437,2.679546083,101.9014664,Mimosa pigra,Giant Sensitive Plant
438,3.355819944,101.7849655,Mimosa pigra,Giant Sensitive Plant
439,2.2560736,102.2179574,Mimosa pigra,Giant Sensitive Plant
440,2.709668016,101.8835589,Mimosa pigra,Giant Sensitive Plant
441,3.180143179,101.6077973,Mimosa pigra,Giant Sensitive Plant
442,3.180180135,101.6078261,Mimosa pigra,Giant Sensitive Plant
443,3.06118278,101.8107466,Mimosa pigra,Giant Sensitive Plant
